,Revenue,COGS,Gross profit,R&D,S&M,G&A,OPEX,OPINC,Other,Pretax,Tax,less net,Net income,Shares
2022Q3,50122,15452,34670,6628,5126,1398,13152,21518,69,21587,166,0,21421,24900
2022Q4,52747,17488,35259,6844,5679,2337,14860,20399,-60,20339,3914,0,16425,7473
2023Q1,52857,16128,36729,6984,5750,1643,14377,22352,321,22673,4374,0,18299,7464
2023Q2,56189,16795,39394,6739,6204,2197,15140,24254,458,24712,8496,0,16216,7472
2023Q3,56517,16302,40215,6659,5187,1474,13320,26895,389,27284,4993,0,22291,7462
2023Q4,62020,19623,42397,7142,6246,1977,15365,27032,-506,26526,4656,0,21870,7468
2024Q1,61858,18505,43353,7653,6207,1912,15772,27581,-854,26727,4788,0,21939,7472
2024Q2,64727,19684,45043,8056,6816,2246,17118,27925,-675,27250,5214,0,22036,7469
